Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Conv_41,Conv,85721088,4.98%,3159680,3.65%,3488,0.15%,1x12x128x192,1x32x128x192
LeakyRelu_42,LeakyRelu,1572864,0.09%,3145728,3.64%,0,0.00%,1x32x128x192,1x32x128x192
Conv_43,Conv,113639424,6.60%,1646848,1.90%,18496,0.81%,1x32x128x192,1x64x64x96
LeakyRelu_44,LeakyRelu,786432,0.05%,1572864,1.82%,0,0.00%,1x64x64x96,1x64x64x96
Conv_45,Conv,12779520,0.74%,794752,0.92%,2080,0.09%,1x64x64x96,1x32x64x96
Conv_47,Conv,12779520,0.74%,794752,0.92%,2080,0.09%,1x64x64x96,1x32x64x96
LeakyRelu_46,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x32x64x96,1x32x64x96
LeakyRelu_48,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x32x64x96,1x32x64x96
Conv_49,Conv,6488064,0.38%,790656,0.91%,1056,0.05%,1x32x64x96,1x32x64x96
LeakyRelu_50,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x32x64x96,1x32x64x96
Conv_51,Conv,56819712,3.30%,823424,0.95%,9248,0.40%,1x32x64x96,1x32x64x96
LeakyRelu_52,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x32x64x96,1x32x64x96
Add_53,Add,196608,0.01%,786432,0.91%,0,0.00%,1x32x64x96,1x32x64x96
Conv_55,Conv,25559040,1.49%,1589504,1.84%,4160,0.18%,1x64x64x96,1x64x64x96
LeakyRelu_56,LeakyRelu,786432,0.05%,1572864,1.82%,0,0.00%,1x64x64x96,1x64x64x96
Conv_57,Conv,113442816,6.59%,1081856,1.25%,73856,3.23%,1x64x64x96,1x128x32x48
LeakyRelu_58,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
Conv_59,Conv,12681216,0.74%,426240,0.49%,8256,0.36%,1x128x32x48,1x64x32x48
Conv_61,Conv,12681216,0.74%,426240,0.49%,8256,0.36%,1x128x32x48,1x64x32x48
LeakyRelu_60,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
LeakyRelu_62,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_63,Conv,6389760,0.37%,409856,0.47%,4160,0.18%,1x64x32x48,1x64x32x48
LeakyRelu_64,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_65,Conv,56721408,3.30%,540928,0.63%,36928,1.62%,1x64x32x48,1x64x32x48
LeakyRelu_66,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Add_67,Add,98304,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_68,Conv,6389760,0.37%,409856,0.47%,4160,0.18%,1x64x32x48,1x64x32x48
LeakyRelu_69,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_70,Conv,56721408,3.30%,540928,0.63%,36928,1.62%,1x64x32x48,1x64x32x48
LeakyRelu_71,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Add_72,Add,98304,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_73,Conv,6389760,0.37%,409856,0.47%,4160,0.18%,1x64x32x48,1x64x32x48
LeakyRelu_74,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_75,Conv,56721408,3.30%,540928,0.63%,36928,1.62%,1x64x32x48,1x64x32x48
LeakyRelu_76,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Add_77,Add,98304,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_79,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
LeakyRelu_80,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
Conv_81,Conv,113344512,6.59%,1573888,1.82%,295168,12.91%,1x128x32x48,1x256x16x24
LeakyRelu_82,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x256x16x24,1x256x16x24
Conv_83,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
LeakyRelu_84,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
MaxPool_85,MaxPool,1228800,0.07%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
MaxPool_86,MaxPool,3981312,0.23%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
MaxPool_87,MaxPool,3981312,0.23%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_89,Conv,37847040,2.20%,787456,0.91%,98560,4.31%,1x384x16x24,1x256x16x24
LeakyRelu_90,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x256x16x24,1x256x16x24
Conv_91,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
Conv_93,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
LeakyRelu_92,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_94,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_95,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
